Name,Handedness,Height,Weight,Avg,HR
Tom Brown,Right,73,170,0,0
Denny Lemaster,Right,73,182,0.13,4
Joe Nolan,Left,71,175,0.263,27
Denny Doyle,Left,69,175,0.25,16
Jose Cardenal,Right,70,150,0.275,138
Mike Ryan,Right,74,205,0.193,28
Fritz Peterson,Both,72,185,0.159,2
Dick Bertell,Right,72,200,0.25,10
Rod Kanehl,Right,73,180,0.241,6
Ozzie Osborn,Right,74,195,0,0
John LaRose,Left,73,185,0,0
Jeff Byrd,Right,75,195,0,0
Juan Bonilla,Right,69,170,0.256,7
Frank Tepedino,Left,71,185,0.241,6
Jerry Kutzler,Left,73,175,0,0
Rick Wise,Right,73,180,0.195,15
Darrell Evans,Left,74,200,0.248,414
Buck Martinez,Right,70,190,0.225,58
John Wockenfuss,Right,72,190,0.262,86
Tommy McCraw,Left,72,183,0.246,75
Jeff Barkley,Both,75,185,0,0
Eric Wilkins,Right,73,190,0,0
Britt Burns,Left,77,215,0,0
Lee Lacy,Right,73,175,0.286,91
Pete Rose,Both,71,192,0.303,160
Danny Walton,Right,72,195,0.223,28
Bobby Cox,Right,71,180,0.225,9
Brad Wellman,Right,72,170,0.231,6
Jeff Newman,Right,74,215,0.224,63
Pedro Gonzalez,Right,72,176,0.244,8
Nardi Contreras,Both,74,193,0,0
Tommie Reynolds,Right,74,190,0.226,12
Gene Clines,Right,69,170,0.277,5
Jim Hickman,Right,75,192,0.252,159
Jack Billingham,Right,76,195,0.111,0
Jerry Buchek,Right,71,185,0.22,22
Ivan DeJesus,Right,71,175,0.254,21
Gary Nolan,Right,74,197,0.138,1
Gil Patterson,Right,73,185,0,0
Fred Whitfield,Left,73,190,0.253,108
Larry Dierker,Right,76,215,0.136,4
Dave Skaggs,Right,74,200,0.241,3
Dick Ruthven,Right,75,190,0.183,1
Jerry Garvin,Left,75,195,0,0
Steve Eddy,Right,74,185,0,0
Dave Kingman,Right,78,210,0.236,442
Eric Soderholm,Right,71,187,0.264,102
Kevin Mmahat,Left,77,220,0,0
Ed Brinkman,Right,72,170,0.224,60
Wayne Garrett,Left,71,175,0.239,61
Tony Muser,Left,74,180,0.259,7
Jim Siwy,Right,76,200,0,0
Bud Anderson,Right,75,210,0,0
Ted Ford,Right,70,180,0.219,17
Kevin Stanfield,Left,72,190,0,0
Jim Lyttle,Left,72,180,0.248,9
John Butcher,Right,76,185,0,0
Jerry Ujdur,Right,73,195,0,0
Scot Thompson,Left,75,195,0.262,5
Gene Locklear,Left,70,165,0.274,9
Bo Diaz,Right,71,185,0.255,87
Bump Wills,Both,69,172,0.266,36
Brian Denman,Right,76,205,0,0
Pat Putnam,Left,72,205,0.255,63
Kurt Bevacqua,Right,72,180,0.236,27
Bob Fallon,Left,75,200,0,0
Syd O'Brien,Right,73,185,0.23,24
Chris Chambliss,Left,73,195,0.279,185
Tom Satriano,Left,73,185,0.225,21
Jeffrey Leonard,Right,74,200,0.266,144
Dal Maxvill,Right,71,157,0.217,6
Steve Curry,Right,78,217,0,0
Cesar Tovar,Right,69,155,0.278,46
Mickey Lolich,Both,73,170,0.11,0
Ray Chadwick,Both,74,180,0,0
Jack Heidemann,Right,72,175,0.211,9
Rich Rollins,Right,70,185,0.269,77
Walt Bond,Left,79,228,0.256,41
Merv Rettenmund,Right,70,190,0.271,66
Bryan Clutterbuck,Right,76,223,0,0
Byron Browne,Right,74,190,0.236,30
Hector Torres,Right,72,175,0.216,18
Walt Williams,Right,66,165,0.27,33
Jerry Koosman,Right,74,205,0.119,2
Steve Lombardozzi,Right,72,175,0.233,20
Joe Azcue,Right,72,190,0.252,50
Elliott Maddox,Right,71,180,0.261,18
Omar Moreno,Left,74,180,0.252,37
Julian Javier,Right,73,175,0.257,78
Tony Ferreira,Left,73,160,0,0
Elio Chacon,Right,69,160,0.232,4
Rusty Torres,Both,70,175,0.212,35
John Stearns,Right,72,185,0.26,46
Larry Brown,Right,70,160,0.233,47
Tommy Dean,Right,72,165,0.18,4
Bryan Oelkers,Left,75,192,0,0
Kevin Bearse,Left,74,195,0,0
Marty Martinez,Both,72,170,0.243,0
Bruce Boisclair,Left,74,185,0.263,10
Ken Singleton,Both,76,210,0.282,246
Frank White,Right,71,165,0.255,160
Jim Fairey,Left,70,190,0.235,7
Jose Roman,Right,72,175,0,0
Tom Brookens,Right,70,165,0.246,71
Gary Thomasson,Left,73,180,0.249,61
Mike Trujillo,Right,73,180,0,0
Albert Williams,Right,76,190,0,0
Oswaldo Peraza,Right,76,172,0,0
Otto Velez,Right,72,170,0.251,78
Tony Scott,Both,72,164,0.249,17
Ray Oyler,Right,71,165,0.175,15
Barry Cort,Right,77,210,0,0
Floyd Robinson,Left,69,175,0.283,67
Steve Jeltz,Both,71,180,0.21,5
Lou Brock,Left,71,170,0.293,149
Bill Wilkinson,Right,70,160,0,0
Joe Lovitto,Both,72,185,0.216,4
Mike Loynd,Right,76,210,0,0
Wayne Comer,Right,70,175,0.229,16
Dave Collins,Both,71,175,0.272,32
Ed Spiezio,Right,71,180,0.238,39
Rico Petrocelli,Right,72,175,0.251,210
Johnny Lewis,Left,73,189,0.227,22
Dick Simpson,Right,76,176,0.207,15
Ken Boswell,Left,72,170,0.248,31
Ken McMullen,Right,75,190,0.248,156
Randy Scarbery,Both,73,185,0,0
Steve Swisher,Right,74,205,0.216,20
Ben Callahan,Right,79,230,0,0
Dick Howser,Right,68,155,0.248,16
Manny Castillo,Both,69,160,0.242,3
Mike Ramsey,Both,73,170,0.24,2
Willie Crawford,Left,73,197,0.268,86
Bobby Cuellar,Right,71,188,0,0
Willie Norwood,Right,72,185,0.242,18
Mike Jones,Left,78,215,0,0
Jeff Stone,Left,72,175,0.277,11
Ramon Manon,Right,72,150,0,0
Joe Lahoud,Left,73,198,0.223,65
Tim Flannery,Left,71,175,0.255,9
Dave McKay,Both,73,195,0.229,21
John Trautwein,Right,75,205,0,0
Andy Replogle,Right,77,205,0,0
Zach Crouch,Left,75,180,0,0
Benny Ayala,Right,73,185,0.251,38
Ron Romanick,Right,76,195,0,0
Greg Gross,Left,70,160,0.287,7
Bruce Tanner,Left,75,220,0,0
Sal Butera,Right,72,190,0.227,8
Jack Brohamer,Left,70,165,0.245,30
Von Joshua,Left,70,170,0.273,30
Eddie Milner,Left,71,173,0.253,42
Johnny Jeter,Right,73,180,0.244,18
Angel Salazar,Right,72,180,0.212,2
Tony Oliva,Left,73,175,0.304,220
Cito Gaston,Right,75,190,0.256,91
Cookie Rojas,Right,70,160,0.263,54
Rich Morales,Right,71,170,0.195,6
Dave Ford,Right,76,190,0,0
Dan Ford,Right,73,185,0.27,121
Barry Raziano,Both,70,175,0,0
Darryl Motley,Right,69,196,0.243,44
Ozzie Virgil,Right,73,180,0.243,98
Johnny Oates,Left,71,188,0.25,14
Pat Underwood,Left,72,175,0,0
Mike Phillips,Left,72,170,0.24,11
Ron Santo,Right,72,190,0.277,342
Jay Johnstone,Left,73,175,0.267,102
Jim Ray Hart,Right,71,185,0.278,170
Marc Hill,Right,75,205,0.223,34
Joel McKeon,Left,72,185,0,0
Danny Fife,Right,75,175,0,0
Chico Salmon,Right,70,160,0.249,31
Joe Niekro,Right,73,185,0.156,1
Andy Etchebarren,Right,73,190,0.235,49
Ken Berry,Right,72,175,0.255,58
Dave Concepcion,Right,74,155,0.267,101
Junior Moore,Right,71,185,0.264,7
Mike Richardt,Right,72,170,0.226,4
Chris Brown,Right,72,185,0.269,38
Al Bumbry,Left,68,170,0.281,54
Al Downing,Right,71,175,0.127,2
Bob Didier,Both,72,190,0.229,0
Jake Gibbs,Left,72,180,0.233,25
Garry Hancock,Left,72,175,0.247,12
Ed Kranepool,Left,75,205,0.261,118
Rick Rhoden,Right,75,195,0.238,9
Denny McLain,Right,73,185,0.133,1
Chuck Hiller,Left,71,170,0.243,20
Jorge Orta,Left,70,170,0.278,130
Dave Cash,Right,71,170,0.283,21
Bucky Dent,Right,69,170,0.247,40
Andy Beene,Right,75,205,0,0
Bruce Robbins,Left,73,190,0,0
Tony Gonzalez,Left,69,170,0.286,103
Leon Hooten,Right,71,180,0,0
Larry Haney,Right,74,195,0.215,12
Billy Conigliaro,Right,72,180,0.256,40
Gary Roenicke,Right,75,205,0.247,121
Don Lock,Right,74,195,0.238,122
Billy Cowan,Right,72,170,0.236,40
Billy Smith,Both,74,185,0.23,17
Allan Ramirez,Right,70,180,0,0
Tony Perez,Right,74,175,0.279,379
Chuck Schilling,Right,70,160,0.239,23
Hal McRae,Right,71,180,0.29,191
Dave Roberts,Right,75,215,0.239,49
Brian Allard,Right,73,175,0,0
Jim Lefebvre,Both,72,180,0.251,74
Fernando Arroyo,Right,74,180,0,0
Gary Beare,Right,76,205,0,0
Charlie Spikes,Right,75,215,0.246,65
Brian Dubois,Left,70,165,0,0
Steve Whitaker,Left,72,180,0.23,24
Manny Jimenez,Left,73,185,0.272,26
Chris Batton,Right,76,195,0,0
Duffy Dyer,Right,72,187,0.221,30
Ken Henderson,Both,74,180,0.257,122
Vance Lovelace,Left,77,205,0,0
Greg Thayer,Right,71,182,0,0
Vern Fuller,Right,73,170,0.232,14
Paul Hartzell,Right,77,200,0,0
Wayne Gross,Left,74,210,0.233,121
Mike Champion,Right,72,185,0.229,2
Ralph Botting,Left,72,195,0,0
Paul Casanova,Right,76,180,0.225,50
Steve Rogers,Right,74,175,0.138,0
Keith Creel,Right,74,180,0,0
Terry Crowley,Left,72,180,0.25,42
Horace Clarke,Both,69,170,0.256,27
Lou Clinton,Right,73,185,0.247,65
Larry Cox,Right,70,178,0.221,12
Nate Colbert,Right,74,190,0.243,173
Phil Roof,Right,74,190,0.215,43
Chuck Hinton,Right,73,180,0.264,113
Tim Cullen,Right,73,185,0.22,9
Tim Harkness,Left,74,182,0.235,14
